meta.uuid,dem.age,dem.city_or_rural,dem.country_code,dem.education_level,dem.gender,question.DAL_residency,question.DAL_employment_status,question.DAL_household_income,question.DAL_disposable_income,question.DAL_CCI-Q12_household_finance_present,question.DAL_CCI_EC-Q1_household_finance_past,question.DAL_CCI_EC-Q2_household_finance_future,question.DAL_CCI-Q14_economic_situation_present,question.DAL_CCI_EC-Q3_economic_situation_past,question.DAL_CCI_EC-Q4_economic_situation_future,question.DAL_CCI_EC-Q5_inflation_past,question.DAL_CCI_EC-Q6_inflation_future,question.DAL_CCI-Q13_job_situation_present,question.DAL_CCI_EC-Q7_unemployment_future,question.DAL_CCI_EC-Q8_purchases_present,question.DAL_CCI_EC-Q9_purchases_future,question.DAL_PolRisk_democratic_change,question.DAL_PolRisk_strong_leader,question.DAL_PolRisk_approve_president,question.DAL_PolRisk_approve_political_rep,question.DAL_PolRisk_approve_ruling_party_VE,question.DAL_PolRisk_approve_ruling_party_MX,question.DAL_PolRisk_approve_ruling_party_BR,question.DAL_PolRisk_approve_ruling_party_TR,question.DAL_PolRisk_approve_ruling_party_UA,question.DAL_PolRisk_trust_police,question.DAL_PolRisk_trust_courts,question.DAL_PolRisk_tax_evasion,question.DAL_PolRisk_inequality_past,question.DAL_PolRisk_inequality_anger,question.DAL_PolRisk_corrupt_past,question.DAL_PolRisk_corrupt_anger,question.DAL_PolRisk_corrupt_experience,question.DAL_PolRisk_politcal_stability,question.DAL_PolRisk_protest_likelihood,question.DAL_opinion_foreign_companies,question.DAL_positive_countries_MX_BR_VE,question.DAL_positive_countries_UA_TR_EG,question.DAL_negative_countries_MX_BR_VE,question.DAL_negative_countries_UA_TR_EG,question.DAL_protectionism,question.DAL_migration_time,question.DAL_migration_motives
002dbad0-c706-0135-95ce-0a901406a434,21,city,VE,medium,female,"Yes, as a citizen","Employed, working 30 or more hours per week",Under 100,About half,Not at all secure,... a little worse,... get a lot better,Very poorly,... got a lot worse,... get a lot worse,... increased a lot,... increase a lot,Somewhat secure,... stay the same,Don't know,About the same,Much less,Strongly agree,Strongly disapprove,Somewhat disapprove,Strongly disapprove,,,,,Not at all,Not at all,Never acceptable,... increased a lot,Not very angry,... increased a lot,Very angry,Yes,Not at all stable,Not very likely,Very positive,Spain | United States,,China,,Too little,Sometime later,Job / career opportunities | Political situation in my country | Economic situation in my country | Personal safety | Cost of living
003d4190-c7ad-0135-2979-0a901406a434,25,city,UA,high,female,"Yes, as a citizen","Employed, working 30 or more hours per week",Prefer not to say,About half,Very secure,... a lot better,... get a little better,Fairly poorly,... stayed the same,... stay the same,... increased moderately,... increase a lot,Very secure,... increase a little,The wrong moment,About the same,Neither more nor less,Neither agree nor disagree,Strongly disapprove,Strongly disapprove,,,,,Somewhat disapprove,Not at all,Not at all,Always acceptable,... increased a lot,Not at all angry,... stayed the same,Very angry,No,Not at all stable,Not at all likely,Very positive,,India | Turkey | France | United Kingdom | China | Japan | United States | Saudi Arabia | Germany,,Russia,Too little,Within the next year,Civic freedoms | Desire to travel / see the world | Educational opportunities | Retirement | Political situation in my country | Cost of living | Personal safety | Job / career opportunities | Economic situation in my country
01065160-c706-0135-937a-0a62aae02c3c,27,city,VE,medium,female,"Yes, as a citizen","In school, university or practical training",Prefer not to say,Most of it,Not at all secure,... a lot worse,Don't know,Very poorly,... got a lot worse,Don't know,... increased a lot,Don't know,Not at all secure,Don't know,Neither the right moment nor the wrong moment,Don't know,Neither more nor less,Neither agree nor disagree,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,,,,,Not a lot,Not a lot,Never acceptable,... increased a lot,Not very angry,... increased a lot,Very angry,No,Not very stable,Not very likely,Neither positive nor negative,United States | Spain | Japan | China | United Kingdom | Germany | France | Canada,,None of the above,,Don't know,Sometime later,Job / career opportunities
00597d00-d1ce-0135-9fec-0a62aae02c3c,38,city,TR,high,male,"Yes, as a citizen","Employed, working 30 or more hours per week",Prefer not to say,About half,Somewhat secure,... the same,... get a little better,Fairly well,... got a little better,... get a little better,... increased moderately,... increase moderately,Somewhat secure,... stay the same,The right moment,About the same,Slightly more,Somewhat agree,Strongly approve,Strongly approve,,,,Strongly approve,,A lot,A lot,Never acceptable,... stayed the same,Not very angry,... stayed the same,A little angry,No,Very stable,Not at all likely,Neither positive nor negative,,None of the above,,None of the above,The right amount,Never,
00726200-c6ed-0135-6ef5-0a62aae02c3c,41,city,BR,medium,male,"Yes, as a citizen","Employed, working 30 or more hours per week",More than 3000,Most of it,Not very secure,... a little better,... get a lot better,Very poorly,... got a little worse,... get a little better,... increased a lot,... increase a lot,Very secure,... increase a lot,The wrong moment,About the same,Neither more nor less,Strongly agree,Strongly disapprove,Strongly disapprove,,,Strongly disapprove,,,A little,A little,Sometimes acceptable,... increased a lot,Very angry,... increased a lot,Very angry,No,Not at all stable,Not at all likely,Somewhat positive,China | United States,,None of the above,,Don't know,Never,
00adca40-c72b-0135-c3df-0a62aae02c3c,26,city,VE,low,female,"Yes, as a citizen","Not employed, currently looking for work",Prefer not to say,All of it,Not at all secure,... a lot worse,... get a little better,Very poorly,... got a lot worse,Don't know,... increased a lot,Don't know,Prefer not to answer,... decrease a lot,The wrong moment,Don't know,Much less,Strongly agree,Strongly disapprove,Strongly disapprove,Strongly disapprove,,,,,Not at all,Not at all,Never acceptable,... decreased a lot,Not at all angry,... increased a lot,Very angry,No,Not at all stable,Not at all likely,Very positive,United States,,None of the above,,Don't know,Never,
00b3e130-c894-0135-c596-0a901406a434,40,city,TR,low,female,"Yes, as a citizen","Not employed, currently NOT looking for work",400 - 500,Most of it,Not very secure,... a little better,... get a little better,Very poorly,... got a lot worse,... get a lot worse,... increased a lot,... increase a lot,Somewhat secure,... increase a little,The wrong moment,About the same,Much less,Neither agree nor disagree,Somewhat disapprove,Somewhat disapprove,,,,Somewhat disapprove,,A little,A little,Never acceptable,... increased a lot,Very angry,... increased a lot,Very angry,No,Not at all stable,Not at all likely,Very negative,,None of the above,,None of the above,Don't know,Never,
00b98120-c719-0135-a7dd-0a901406a434,40,city,VE,low,male,"Yes, as a citizen","Employed, working 30 or more hours per week",Under 100,Most of it,Somewhat secure,... a little better,... get a lot better,Fairly poorly,... got a lot worse,... get a little better,... increased a lot,... decrease,Somewhat secure,... increase a little,Neither the right moment nor the wrong moment,About the same,Much less,Strongly disagree,Strongly disapprove,Strongly disapprove,Strongly disapprove,,,,,Not at all,Not at all,Never acceptable,... increased a lot,Very angry,... increased a lot,Very angry,No,Not at all stable,Not at all likely,Neither positive nor negative,Spain | United States,,China,,Too little,Within the next year,Job / career opportunities | Political situation in my country | Cost of living | Economic situation in my country | Other reason related to quality of life
00c918a0-c937-0135-2198-0a62aae02c3c,48,city,MX,medium,female,"Yes, as a citizen",Selfå_-employed / Freelancer,750 - 1000,Most of it,Somewhat secure,... the same,... get a little better,Neither well nor poorly,... stayed the same,... get a little better,... increased moderately,... increase moderately,Very secure,... increase a little,Neither the right moment nor the wrong moment,About the same,Neither more nor less,Strongly agree,Neither approve nor disapprove,Neither approve nor disapprove,,Somewhat disapprove,,,,A little,A little,Never acceptable,... increased a little,Not very angry,... increased a little,Very angry,Yes,Somewhat stable,Not at all likely,Very positive,China | Canada | United States,,United Kingdom | France,,Too little,Never,
00cb2950-c842-0135-c160-0a62aae02c3c,29,city,BR,low,male,"Yes, as a citizen",Entrepreneur / Employer,Prefer not to say,Less than half,Very secure,... a lot better,... get a lot better,Fairly well,... stayed the same,... get a little better,... increased a little,... increase a little,Very secure,... increase a lot,The right moment,More purchases,Slightly more,Strongly disagree,Somewhat disapprove,Somewhat disapprove,,,Somewhat approve,,,A lot,A little,Sometimes acceptable,... stayed the same,Not at all angry,... stayed the same,Very angry,No,Not very stable,Not at all likely,Somewhat negative,China,,United States,,Too little,Sometime later,Desire to travel / see the world
00d92050-c7e7-0135-2b73-0a901406a434,18,city,TR,low,male,"Yes, as a citizen","Employed, working 1 to å_29 hours per week",300 - 400,Most of it,Very secure,... a lot better,... get a lot better,Fairly well,... got a lot better,... get a lot better,... increased a lot,... increase a lot,Very secure,... increase a little,Neither the right moment nor the wrong moment,About the same,Slightly more,Strongly agree,Strongly approve,Somewhat approve,,,,Somewhat approve,,A lot,A lot,Never acceptable,... increased a little,A little angry,... stayed the same,Not very angry,No,Somewhat stable,Not at all likely,Somewhat positive,,United States,,India,The right amount,Sometime later,Job / career opportunities
00f60250-c86b-0135-e375-0a62aae02c3c,30,city,EG,medium,male,"Yes, as a citizen",Selfå_-employed / Freelancer,100 - 200,All of it,Somewhat secure,... the same,... get a lot better,Neither well nor poorly,... got a little worse,... get a little better,... increased a lot,... increase a lot,Somewhat secure,... decrease a little,Neither the right moment nor the wrong moment,More purchases,Neither more nor less,Neither agree nor disagree,Neither approve nor disapprove,Neither approve nor disapprove,,,,,,A lot,A little,Never acceptable,... increased a lot,Very angry,... stayed the same,Very angry,No,Very stable,Not at all likely,Neither positive nor negative,,None of the above,,None of the above,The right amount,Sometime later,Cost of living
0104bdb0-c6f7-0135-7de6-0a62aae02c3c,23,rural,EG,medium,male,"Yes, as a citizen","In school, university or practical training",500 - 750,About half,Very secure,... a lot better,... get a lot better,Fairly well,... got a little better,... get a little better,... increased moderately,... increase moderately,Prefer not to answer,... stay the same,Neither the right moment nor the wrong moment,About the same,Much more,Somewhat agree,Somewhat approve,Somewhat approve,,,,,,A little,Not a lot,Never acceptable,... stayed the same,A little angry,... stayed the same,Very angry,Yes,Somewhat stable,Not very likely,Somewhat positive,,Russia | United States,,China,The right amount,Within the next 3 years,Job / career opportunities | Economic situation in my country | Educational opportunities
01065160-c706-0135-937a-0a62aae02c3c,27,city,VE,medium,female,"Yes, as a citizen","In school, university or practical training",Prefer not to say,Most of it,Not at all secure,... a lot worse,Don't know,Very poorly,... got a lot worse,Don't know,... increased a lot,Don't know,Not at all secure,Don't know,Neither the right moment nor the wrong moment,Don't know,Neither more nor less,Neither agree nor disagree,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,,,,,Not a lot,Not a lot,Never acceptable,... increased a lot,Not very angry,... increased a lot,Very angry,No,Not very stable,Not very likely,Neither positive nor negative,United States | Spain | Japan | China | United Kingdom | Germany | France | Canada,,None of the above,,Don't know,Sometime later,Job / career opportunities
0114c5a0-c6f3-0135-775d-0a62aae02c3c,45,city,VE,medium,female,"Yes, as a citizen","Employed, working 1 to å_29 hours per week",Under 100,Most of it,Very secure,... a little better,... get a lot better,Fairly well,... got a little better,... get a lot better,... increased a little,... increase a little,Very secure,... decrease a little,The right moment,About the same,Slightly more,Strongly agree,Strongly approve,Strongly approve,Strongly approve,,,,,A lot,A lot,Never acceptable,... decreased a lot,A little angry,... decreased a lot,A little angry,Yes,Somewhat stable,Not at all likely,Somewhat positive,China | United Kingdom | Japan,,United States | Spain,,Too much,Never,
012b01e0-c7c8-0135-496b-0a901406a434,58,rural,UA,medium,male,"Yes, as a citizen",Retired,Under 100,All of it,Not at all secure,... a lot worse,... get a lot worse,Very poorly,... got a lot worse,... get a lot worse,... increased a lot,... increase a lot,Not at all secure,... increase a lot,The wrong moment,Fewer purchases,Much less,Somewhat agree,Strongly disapprove,Strongly disapprove,,,,,Somewhat disapprove,Not a lot,Not a lot,Never acceptable,... increased a lot,Very angry,... increased a lot,Very angry,No,Not at all stable,Not at all likely,Somewhat negative,,None of the above,,None of the above,Too little,Never,
01491030-c724-0135-b61c-0a901406a434,49,city,UA,high,male,"Yes, as a citizen","Employed, working 30 or more hours per week",200 - 300,All of it,Not at all secure,... a little worse,... get a lot worse,Fairly poorly,... got a lot worse,... get a little worse,... increased a lot,... increase a lot,Not very secure,... increase a lot,The wrong moment,Fewer purchases,Neither more nor less,Strongly agree,Somewhat disapprove,Strongly disapprove,,,,,Strongly disapprove,Not at all,Not at all,Always acceptable,... increased a lot,Very angry,... increased a lot,Very angry,Yes,Not at all stable,Very likely,Neither positive nor negative,,Germany | United Kingdom | Japan,,China | Russia,Too little,Never,
