meta.uuid,dem.age,dem.city_or_rural,dem.country_code,dem.education_level,dem.gender,question.DAL_residency,question.DAL_employment_status,question.DAL_household_income,question.DAL_disposable_income,question.DAL_CCI-Q12_household_finance_present,question.DAL_CCI_EC-Q1_household_finance_past,question.DAL_CCI_EC-Q2_household_finance_future,question.DAL_CCI-Q14_economic_situation_present,question.DAL_CCI_EC-Q3_economic_situation_past,question.DAL_CCI_EC-Q4_economic_situation_future,question.DAL_CCI_EC-Q5_inflation_past,question.DAL_CCI_EC-Q6_inflation_future,question.DAL_CCI-Q13_job_situation_present,question.DAL_CCI_EC-Q7_unemployment_future,question.DAL_CCI_EC-Q8_purchases_present,question.DAL_CCI_EC-Q9_purchases_future,question.DAL_PolRisk_democratic_change,question.DAL_PolRisk_strong_leader,question.DAL_PolRisk_approve_president,question.DAL_PolRisk_approve_political_rep,question.DAL_PolRisk_approve_ruling_party_VE,question.DAL_PolRisk_approve_ruling_party_MX,question.DAL_PolRisk_approve_ruling_party_BR,question.DAL_PolRisk_approve_ruling_party_TR,question.DAL_PolRisk_approve_ruling_party_UA,question.DAL_PolRisk_trust_police,question.DAL_PolRisk_trust_courts,question.DAL_PolRisk_tax_evasion,question.DAL_PolRisk_inequality_past,question.DAL_PolRisk_inequality_anger,question.DAL_PolRisk_corrupt_past,question.DAL_PolRisk_corrupt_anger,question.DAL_PolRisk_corrupt_experience,question.DAL_PolRisk_politcal_stability,question.DAL_PolRisk_protest_likelihood,question.DAL_opinion_foreign_companies,question.DAL_positive_countries_MX_BR_VE,question.DAL_positive_countries_UA_TR_EG,question.DAL_negative_countries_MX_BR_VE,question.DAL_negative_countries_UA_TR_EG,question.DAL_protectionism,question.DAL_migration_time,question.DAL_migration_motives
000f0750-b112-0135-388f-0a62aae02c3c,30,rural,VE,medium,male,"Yes, as a citizen","Employed, working 30 or more hours per week",Prefer not to say,Most of it,Not very secure,... a little better,... stay the same,Very poorly,... got a lot worse,... stay the same,... increased a lot,... increase a lot,Somewhat secure,... decrease a lot,The wrong moment,Fewer purchases,Much less,Strongly agree,Strongly disapprove,Neither approve nor disapprove,Strongly approve,,,,,Not at all,Not at all,Never acceptable,... increased a lot,Very angry,... increased a lot,Very angry,Yes,Not at all stable,Somewhat likely,Very positive,China | Germany | Spain,,United States | United Kingdom | France,,Too little,Within the next year,Political situation in my country | Job / career opportunities | Other reason related to quality of life
00189c40-b226-0135-3b49-0a62aae02c3c,25,city,MX,medium,female,"Yes, as a citizen","Employed, working 30 or more hours per week",1000 - 1500,About half,Not very secure,... a little better,... get a lot better,Very poorly,... got a little worse,... get a little worse,... increased a lot,... increase a lot,Not very secure,... increase a little,Neither the right moment nor the wrong moment,Don't know,Much less,Strongly agree,Strongly disapprove,Strongly disapprove,,Somewhat disapprove,,,,Not at all,Not a lot,Sometimes acceptable,... stayed the same,Very angry,... increased a lot,Very angry,Yes,Not at all stable,Somewhat likely,Somewhat positive,China | Spain,,United States | Japan | France,,Too little,Sometime later,Economic situation in my country | Personal safety | Educational opportunities | Job / career opportunities
00241880-b111-0135-6138-0a901406a434,18,city,VE,low,female,"Yes, as a citizen","In school, university or practical training",Prefer not to say,About half,Not very secure,... a lot worse,... get a lot better,Very poorly,... got a lot worse,... stay the same,... increased a lot,... increase moderately,Not at all secure,... decrease a lot,The wrong moment,Don't know,Slightly more,Neither agree nor disagree,Strongly disapprove,Strongly disapprove,Strongly disapprove,,,,,Not at all,Not a lot,Sometimes acceptable,... increased a little,Not very angry,... increased a lot,Very angry,No,Not at all stable,Not at all likely,Neither positive nor negative,Japan | China,,United States,,Too little,Sometime later,Economic situation in my country | Political situation in my country | Educational opportunities
002bbb60-b500-0135-b4fc-0a901406a434,42,city,EG,low,male,"Yes, as a citizen",Retired,Prefer not to say,Most of it,Not very secure,... a lot better,... get a little better,Fairly poorly,... got a lot worse,... get a little better,... increased a lot,... increase moderately,Not very secure,... increase a little,Neither the right moment nor the wrong moment,About the same,Much less,Somewhat disagree,Strongly disapprove,Somewhat disapprove,,,,,,Not at all,Not a lot,Sometimes acceptable,... increased a lot,Very angry,... increased a lot,Very angry,No,Not very stable,Not very likely,Somewhat positive,,China,,United States,Too little,Within the next 3 years,Cost of living | Job / career opportunities
003a4cd0-b0ff-0135-1ecc-0a62aae02c3c,31,city,TR,high,male,"Yes, as a citizen","Employed, working 30 or more hours per week",More than 3000,Less than half,Somewhat secure,... a little better,... get a little better,Neither well nor poorly,... got a little worse,... get a little worse,... increased a lot,... increase a lot,Somewhat secure,... increase a lot,The wrong moment,About the same,Slightly less,Somewhat disagree,Somewhat disapprove,Somewhat disapprove,,,,Somewhat approve,,A lot,A little,Never acceptable,... increased a lot,Very angry,... decreased a little,A little angry,No,Somewhat stable,Not at all likely,Very positive,,France | United States | Japan | Germany | Russia | India | United Kingdom,,Saudi Arabia | China,The right amount,Never,
00576920-b10c-0135-5a2b-0a901406a434,49,city,TR,high,male,"Yes, as a citizen",Retired,750 - 1000,Most of it,Not at all secure,... a lot worse,... get a lot worse,Very poorly,... got a lot worse,... get a lot worse,... decreased,... decrease,Not at all secure,... decrease a lot,The wrong moment,Fewer purchases,Much less,Strongly disagree,Strongly disapprove,Strongly approve,,,,Strongly disapprove,,Not at all,Not at all,Never acceptable,... increased a lot,Very angry,... increased a lot,Very angry,No,Not at all stable,Not at all likely,Very negative,,None of the above,,United States | Germany,Too little,Never,
007636c0-b13d-0135-ef43-0a901406a434,41,city,BR,medium,male,"Yes, as a citizen","Not employed, currently looking for work",Prefer not to say,Less than half,Prefer not to answer,... a little worse,... get a lot better,Neither well nor poorly,... stayed the same,... get a lot better,... increased moderately,... stay about the same,Prefer not to answer,... increase a little,The wrong moment,Fewer purchases,Neither more nor less,Somewhat agree,Somewhat disapprove,Somewhat disapprove,,,Somewhat disapprove,,,A little,A little,Never acceptable,... increased a little,Very angry,... increased a lot,Very angry,No,Not very stable,Not at all likely,Very positive,Japan | United States | China,,None of the above,,Don't know,Never,
00775140-b193-0135-a795-0a62aae02c3c,33,city,TR,medium,male,"Yes, as a citizen","Employed, working 30 or more hours per week",500 - 750,Less than half,Not very secure,... a lot worse,... get a little worse,Very poorly,... got a lot worse,... get a little worse,... increased a little,... increase a little,Not very secure,... increase a lot,Neither the right moment nor the wrong moment,About the same,Neither more nor less,Somewhat disagree,Somewhat disapprove,Somewhat disapprove,,,,Somewhat disapprove,,Not a lot,Not at all,Sometimes acceptable,... increased a lot,Very angry,... increased a little,Very angry,Yes,Not at all stable,Very likely,Very negative,,Germany | Japan,,Russia | United States,The right amount,Sometime later,Job / career opportunities | Economic situation in my country | Desire to travel / see the world | Weather / climate | Political situation in my country
0079f250-b0fc-0135-4435-0a901406a434,26,city,VE,high,female,"Yes, as a citizen","Employed, working 30 or more hours per week",More than 3000,Most of it,Not very secure,... a lot worse,... get a little worse,Very poorly,... got a lot worse,... get a lot worse,... increased a lot,... increase a lot,Not very secure,... increase a lot,The wrong moment,Fewer purchases,Much less,Strongly agree,Strongly disapprove,Strongly disapprove,Strongly disapprove,,,,,Not at all,Not a lot,Never acceptable,... increased a lot,A little angry,... increased a lot,Very angry,Yes,Not very stable,Very likely,Somewhat positive,United States | Germany | France | Spain | United Kingdom | Japan | Canada,,China,,Too little,Within the next year,Civic freedoms | Job / career opportunities | Desire to travel / see the world | Political situation in my country | Economic situation in my country | Personal safety | Cost of living
00b24340-b55e-0135-f213-0a62aae02c3c,16,city,EG,medium,female,"Yes, as a citizen","Not employed, currently NOT looking for work",100 - 200,All of it,Not at all secure,... the same,... get a lot worse,Very poorly,... got a lot worse,Don't know,... increased a lot,Don't know,Prefer not to answer,Don't know,Don't know,Fewer purchases,Much less,Strongly disagree,Strongly disapprove,Strongly disapprove,,,,,,Not at all,Not at all,Never acceptable,... increased a lot,A little angry,... increased a lot,Very angry,Yes,Not at all stable,Not at all likely,Neither positive nor negative,,China,,China,Don't know,Within the next 3 years,Cost of living | Economic situation in my country | Escaping oppression or discrimination in my country | Other reason related to quality of life | Other reason
